//-----------------------------------------------------------
//            Counter-Strike
//-----------------------------------------------------------
// In this file you can modify the sound the textures give
// when the player walks on them
//
// Location: X:\halflife\valve\sound\materials.txt
//
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file
//
//  'M' metal
//  'V' ventillation
//  'D' dirt
//  'S' slosh liquid 
//  'T' tile
//  'G' grate (Concrete is the default)
//  'W' wood
//  'P' computer
//  'Y' glass
//  'N' snow
//  'X' grass

Y hk_door04
W hk_door05
Y hk_door06
M hk_prop01
M hk_prop03
N hk_prop51
M hk_prop52
M hk_prop53
M hk_prop55
M hk_prop57
Y hk_prop58
Y hk_prop59
Y hk_prop60
Y hk_prop61
M hk_prop62
M hk_prop66
N hk_prop67
M hk_prop70
M hk_prop71
M hk_prop76
M hk_prop78
M hk_prop80
T hk_t01
T hk_t02
T hk_t03
T hk_t09
T hk_t10
T hk_t11
T hk_t12
T hk_t13
T hk_t14
M hk_taxi01
M hk_tram01
M hk_tram01_b
M hk_tram02
M hk_tram02_b
M hk_protram_01
M hk_protram_02
M hk_truck_B01
M hk_truck_B02
M hk_truck_B03
M hk_truck_WF01
M hk_truck_WL01
T hk_u53
Y hk_u64
Y hk_u67
T hk_u79
Y hk_u80
T hk_u81
T hk_w57
Y hk_window01
Y hk_window02
Y hk_window04
Y hk_window05
Y hk_window06
Y hk_window07_2
Y hk_window11
Y hk_window12
Y hk_window13
Y hk_window15
Y hk_window17
Y hk_window20
Y hk_window51
Y hk_window52


//------------------------------------------------------------
// dm_bloodstrike.wad
//------------------------------------------------------------

T dm_bs03
T dm_bs04
T dm_bs05
T dm_bs06
Y dm_bs11
M dm_bs13
T dm_bs15
T dm_bs16
T dm_bs17
T dm_bs19


//------------------------------------------------------------
// dm_dust2.wad
//------------------------------------------------------------

D SandCCrete2
W SandWllDoorBTA
W SandWllDoorBTb
W SandWllDoorDJ1
W SandWllDoorDJ2
 


//------------------------------------------------------------
// ka_moonlight.wad
//------------------------------------------------------------

W {moon_wall08
T moon_roof03
T moon_roof04
W moon_roof07
W moon_wall04
W moon_wall11


//------------------------------------------------------------
// zm_abyss2.wad
//------------------------------------------------------------

M {zm2_etc51
M {zm2_floor53
M zm2_box01
M zm2_cap51
M zm2_cap52
M zm2_cap53
M zm2_etc52
P zm2_etc53
P zm2_etc54
M zm2_etc55
P zm2_etc56
M zm2_floor55
M zm2_frame01
M zm2_frame02
M zm2_frame03
Y zm2_lamp01
Y zm2_lamp51
P zm2_light01
Y zm2_light06
Y zm2_light07
Y zm2_light08
Y zm2_light09
Y zm2_light10
Y zm2_light11
Y zm2_light51
Y zm2_light52
M zm2_machine01
M zm2_mc01
M zm2_pipe51
M zm2_pipe52
M zm2_wall03
M zm2_wall52
M zm2_wall54
Y  zm2_window01
Y zm2_window51


//------------------------------------------------------------
// tdm01.wad
//------------------------------------------------------------

M tdm01_brown01
G tdm01_brick01
G tdm01_brick02
G tdm01_brick02_1
M tdm01_door01
M tdm01_door02
M tdm01_door03
M tdm01_slate02
M tdm01_slate04
M tdm01_slate06
M tdm01_syl01
M tdm01_vend01
M tdm01_vend02
M tdm01_vent01
G tdm01_wall02
G tdm01_wall04
D tdm01_wall05
D tdm01_wall05_01
M tdm01_wall08
M tdm01_wall09
D tdm01_wall11
G tdm01_wall12
W tdm01_window01
W tdm01_window02
G tdm01_window03
Y tdm01_window05
Y tdm01_window06
W tdm01_window07
Y tdm01_window10
G tdm_black01
W tdm_blbox01
W tdm_blbox02
W tdm_blbox03
W tdm_blbox04
M tdm_conb01
M tdm_conb02
M tdm_conr01
M tdm_conr02
M tdm_cony01
M tdm_cony02
M tdm_doorB01
M tdm_doorR01
M tdm_frame01
M tdm_frame02
D tdm_garbage01
M tdm_garbageB01
M tdm_garbageB02
M tdm_garbageR01
M tdm_garbageR02
M tdm_lamp01
M tdm_panel01
M tdm_panel02
W tdm_panel03
M tdm_panel05
M tdm_sign01
M tdm_sign02
M tdm_truck01
M tdm_truck02
M tdm_truck03
M tdm_truck04
M tdm_truck05
M tdm_vent01
M tdm_vent02
M tdm_watch01
M {tdm_airplane
M {tdm_wire01


//------------------------------------------------------------
// awp_ruin.wad
//------------------------------------------------------------

S !ruin_mag01
X {ruin_ivy01
X {ruin_ivy02


//------------------------------------------------------------
// dm_union.wad
//------------------------------------------------------------

M {tusc_door01
T tusc_floor32
T tusc_floor33
X tusc_grass01
X tusc_floor51
M tusc_lamp01
M tusc_lamp02
M tusc_metal01
T tusc_stair31
W tusc_wood31
W tusc_wood32


//------------------------------------------------------------
// cso_egypt.wad
//------------------------------------------------------------

M eg_pharaoh02
W eg_wood01
W eg_wood02
W eg_wood03


//------------------------------------------------------------
// zm_abyss3.wad
//------------------------------------------------------------

S !zm3_water51
S !zm3_water52
M {zm3_ladder51
M {zm3_wall57
M {zm3_wall58
M abyss3_fan01
M abyss3_metal01
M abyss3_metal02
P abyss3_monit01
M zm3_door51
M zm3_etc52
M zm3_etc53
M zm3_etc55
Y zm3_lamp51
Y zm3_lamp52
Y zm3_lamp53
M zm3_Ref51
M zm3_wall52
M zm3_wall56


//------------------------------------------------------------
// ka_champ.wad
//------------------------------------------------------------

M {ka_champ_frame
M champ_cabinet01
M champ_cabinet02
M champ_floor55
M champ_floor56
M champ_pan01
M champ_pan02
M champ_roof01
M champ_speak01


//------------------------------------------------------------
// zs_lostcity.wad
//------------------------------------------------------------

W lc_box01
M lc_drum01
M lc_metal01
M lc_phone01
M lc_sign01
M lc_sign02
M lc_sign03
M lc_sign04
M lc_sign05
M lc_sign06
M lc_sign07
M lc_sign08
M lc_sign09
M lc_tlight01


//------------------------------------------------------------
// zs_double.wad
//------------------------------------------------------------

M dg_etc51


//------------------------------------------------------------
// zs_trap.wad
//------------------------------------------------------------

M trap_air01
M trap_air02
M trap_air03
M trap_door01
M trap_sign01
M trap_sign02
M trap_sign03
M trap_sign04
M trap_sign05


//------------------------------------------------------------
// de_rats.wad
//------------------------------------------------------------

W {rats_ladder01
Y rats_beer01
W rats_board01
M rats_box05
M rats_box06
M rats_bt01
M rats_can01
M rats_can02
M rats_can03
M rats_can04
W rats_door01
W rats_door02
W rats_funi01
W rats_funi02
N rats_ice01
M rats_icebox01
M rats_lamp01
W rats_mald01
M rats_metal01
M rats_metal02
M rats_oven01
M rats_oven02
M rats_oven03
M rats_pipe01
W rats_shink01
M rats_sink01
W rats_table01
W rats_table03
T rats_tile01
T rats_tile02
T rats_tile04
M rats_toaster01
Y rats_window01
Y rats_window02
W rats_wood01
W rats_wood02
W rats_wood03
W rats_wood04
W rats_wood05
W rats_wood06



//------------------------------------------------------------
// cs_kart.wad
//------------------------------------------------------------

M {kart_door01
W {kart_fence01
W {kart_fence02
M {kart_fence03
W {kart_fence04
M {kart_stick03
T kart_houseup01
T kart_houseup02
T kart_houseup03
T kart_houseup04
T kart_houseup05
M kart_lamp01
M kart_lamp02
M kart_lamp03
M kart_pipe01
W kart_set01
N kart_set02
N kart_set03
M kart_sign02
M kart_sign05
M kart_sign07
M kart_sign15
M kart_stick02
W kart_wind01
T kart_wind02
W kart_wood01

//-----------------------------------------------------------
// sc_soccer01.wad
//-----------------------------------------------------------


M {sc_etc58
N sc_CT
M sc_etc51
M sc_etc52
M sc_etc53
M sc_etc55
M sc_frame51
N sc_grass53
N sc_grass53a
N sc_grass54
N sc_grass54a
N sc_grass55
N sc_grass55a
N sc_grass56
N sc_grass56a
N sc_grass57
N sc_grass57a
N sc_grass57b
N sc_grass57c
N sc_grass58
N sc_grass58a
N sc_grass58b
N sc_grass58c
N sc_grass59
N sc_grass59a
N sc_grass59b
N sc_grass59c
M sc_light51
N sc_TR

//------------------------------------------------------------
// sc_cage.wad
//------------------------------------------------------------


M {sc_chain01
M {sc_wire01
M {sc_wire02
M {sc_wire03
D sc_CT2
M sc_metal01
W sc_panel01
W sc_panel02
W sc_panel03
W sc_panel04
W sc_panel05
N sc_pul01
N sc_pul02
D sc_TR2
W sc_wbox01
W sc_wbox02

//------------------------------------------------------------
// zs_anni.wad
//------------------------------------------------------------

M {anni_badak1
M {anni_fance1
M {anni_fance011
M {anni_ladder1
M {anni_mataldoor1
M {zs_annidoor02
M anni_badack
M anni_beams01
M anni_besugu
M anni_butten
M anni_button01
M anni_door03
M anni_door04
M anni_door51
M anni_door52
M anni_faip
G anni_floor51
G anni_floor52
G anni_floor56
G anni_floor57
G anni_floor58
G anni_fuseboxwal
T anni_ground04
G anni_ground05
T anni_hallup01
T anni_hallup02
G anni_ladderwall
G anni_lamp_blue
M anni_musin
M anni_number01
M anni_sewer01
M anni_sewer02
G anni_slight
G anni_slight2
G anni_wall01
G anni_wall02
G anni_wall03
M anni_wall51
G anni_wall52
G anni_wall53
G anni_wall54
G nni_wall55
Y anni_win51
Y anni_win52
Y anni_window
G scroll_anniroll
M zs_annielevator

//------------------------------------------------------------
// hs_desertstorm.wad
//------------------------------------------------------------

M {desert_matal011
M {desert_panel511
M {desert_panel521
G {desert_wall031
G {desert_wall041
Y {desert_window01
M {desert_wire511
M {desert_wire521
M {desert_wire531
G desert_ach511
G desert_ach521
G desert_ach531
G desert_ach541
G desert_ach551
G desert_ach561
G desert_ach571
G desert_ach581
G desert_ach591
G desert_ach601
G desert_ach611
G desert_ach621
G desert_ach631
W desert_box011
W desert_door011
G desert_floor511
G desert_floor521
G desert_ground511
G desert_ground521
G desert_ground531
G desert_ground541
G desert_quard021
M desert_sign011
G desert_wall011
G desert_wall021
G desert_wall211
G desert_wall311
Y desert_win521
Y desert_win531
Y desert_window511
Y desert_window521
Y desert_window531
M desert_wtank011

//------------------------------------------------------------
// hs_hellfire.wad
//------------------------------------------------------------

G {desert_fence01
W hs_door01
W hs_door02
W hs_door03
W hs_door04
W hs_door05
G hs_fence01
G hs_floor01
M hs_oiltank01
G hs_wall02
G hs_wall03
G hs_wall04
G hs_wall05
G hs_wall06
G hs_wall07
G hs_wall08
G hs_wall09
G hs_wall10
G hs_wall11
G hs_wall12
G hs_wall13
G hs_wall14
G hs_wall15
G hs_wall16
G hs_wall17
G hs_wall18
G hs_wall19
G hs_wall20
G hs_wall21
G hs_wall22
G hs_wall23
G hs_wall24
G hs_wall26
G hs_wall27
G hs_wall28
Y hs_window01
M hs_matalpan

//------------------------------------------------------------
// hs3.wad
//------------------------------------------------------------


G hs3_floor01
G hs3_mwall01
G hs3_road01
G hs3_wall01
G hs3_wall02
G hs3_wall03
G hs3_wall04
G hs3_wall05
G hs3_wall06
G hs3_wall07
G hs3_wall08
G hs3_wall09
G hs3_wall10
G hs3_wall11
G hs3_wall12
G hs3_wall13
G hs3_wall14
G pokju
G poktan
s scroll_hsw01
G terret

//------------------------------------------------------------
// NTDM1.wad
//------------------------------------------------------------

M {NTDM1_hook01
W {NTDM1_sign01
W {NTDM1_sign02
W {NTDM1_sign03
W {NTDM1_sign04
M NTDM1_cont01
M NTDM1_cont02
M NTDM1_cont03
M NTDM1_cont04
M NTDM1_cont05
M NTDM1_cont06
M NTDM1_cont07
M NTDM1_cont08
M NTDM1_cont09
M NTDM1_cont10
M NTDM1_cont12
M NTDM1_cont13
M NTDM1_cont14
M NTDM1_cont15
M NTDM1_cont16
M NTDM1_cont17
M NTDM1_cont18
M NTDM1_cont19
W NTDM1_ect02
M NTDM1_hook02
D NTDM1_pbox01
D NTDM1_pbox02
D NTDM1_pbox03
W NTDM1_wbox01
W NTDM1_wbox02
Y NTDM1_win02

//------------------------------------------------------------
// ma_vent.wad
//------------------------------------------------------------

M {do_center12
M {do_hallA05
M {do_hallC07
Y do_area01
Y do_area01l
Y do_area02
Y do_area02l
Y do_area02r
Y do_area03
Y do_area03l
Y do_area04
Y do_area04l
Y do_area04r
M do_bulletb
M do_bulletg
M do_bulletr
M do_center01
M do_center02
M do_center03
M do_center04
M do_center05
M do_center06
M do_center09
M do_center10
M do_center11
Y do_gray01
M do_hallA01
M do_hallA02
M do_hallA03
M do_hallA04
Y do_hallA06
M do_hallB01
M do_hallB02
M do_hallB03
M do_hallB04
M do_hallB05
M do_hallB06
M do_hallB07
M do_hallB08
Y do_hallB09
M do_hallC01
M do_hallC02
M do_hallC03
M do_hallC04
Y do_hallC05
M do_hallC06
M do_mboxb
M do_mboxr
Y start_blue
M start_floor_01
M start_floor_02
M start_floor_03
M start_floor_05
M start_floor_06
M start_green
M start_light_30
Y start_light_31
Y start_light_33
M start_light_34
M start_light_34B
Y start_red
M start_RRR
Y start_triangleB
Y start_triangleR
M start_wall_30
M start_wall_31
M start_wall_32
M start_wall_33
M start_wall_34
M start_wall_35

//------------------------------------------------------------
// ma_quasar.wad
//------------------------------------------------------------

M {ma_ladder
M ma2_floor01
M ma2_floor02
M ma2_floor03
M ma2_floor06
M ma2_floor07
M ma2_floor08
M ma2_wall02
M ma2_wall04
M ma2_wall06
M ma2_wall07
M ma2_wall08
M ma2_wall09
M ma2_wall10
M ma2_wall11
Y ma2_window01

//------------------------------------------------------------
// z_havana.wad
//------------------------------------------------------------

M {z_fence03
M {z_rebar01
M {z_safety
M {z_tent02
M hs_oiltank01
M z_door01
D z_ground01
D z_ground02
M z_hbim
M z_house01
M z_house02
W z_panja
D z_tent
D z_tent01
W z_wood03
W z_wood04
W zs_combox_01
W zs_cxwoodf
D zs_desert
W zs_desert_box01
W zs_door01
D zs_ground53
M zs_metal01

//------------------------------------------------------------
// NTDM2.wad
//------------------------------------------------------------

D NTDM2_ground51 
W NTDM2_wbox01
W NTDM2_wbox02


//------------------------------------------------------------
// de_retuscan.wad
//------------------------------------------------------------

M {tu_fence01
W {tu_fence02
M {tu_ladder
W {tu_wdoor01
Y tu_light01
M tu_sewer
W tu_wup01

//------------------------------------------------------------
// zm_tomb.wad
//------------------------------------------------------------

W {tomb_ground04
W tomb_houseup02
W tomb_houseup03
M tomb_lamp01
W tomb_wall05
W tomb_wall06
Y tomb_window01
Y tomb_window02
Y tomb_window03
M {tomb_bar50
D {tomb_cable50
W {tomb_ikvinea50
W {tomb_ikvinec50
D tomb_floor50
M tomb_lamp51
M tomb_lamp52
M tomb_lamp53
Y tomb_wood50
Y tomb_wood51
Y tomb_wood52

//------------------------------------------------------------
// zm_tomb2.wad
//------------------------------------------------------------

W {tomb2_dari01 
D tomb2_floor50 


//------------------------------------------------------------
// dm_suzhou.wad
//------------------------------------------------------------

W suzhou_archi02
W suzhou_archi07
W suzhou_archi08
W suzhou_archi09
W suzhou_door01
W suzhou_door02
W suzhou_door04
W suzhou_door05
W suzhou_door06
W suzhou_door07
W suzhou_window03
W suzhou_window04
W suzhou_window05
W suzhou_window07
W suzhou_window08
W suzhou_window09
W suzhou_window10
W suzhou_window11
W suzhou_window12
W suzhou_window13
W suzhou_window14
W suzhou_window15
W suzhou_window16


//------------------------------------------------------------
// zs_trace.wad
//------------------------------------------------------------

D trace_badak02    
D trace_cch1       
D trace_cch2       
D trace_cch3       
D trace_cch4       
M trace_culightb   
M trace_culightc   
W trace_door01     
M trace_gikftanks  
M trace_ikftanks0  
M trace_light01    
M trace_light02    
M trace_line50     
M trace_metaldoor  
M trace_mfloor     
M trace_mwall01    
M trace_mwall01c   
M trace_mwall02    
M trace_mwall03    
M trace_mwall03b   
M trace_mwall03c   
M trace_mwall04    
M trace_mwall04b   
M trace_mwall05    
W trace_Plywood01  
M trace_sign56a    
M trace_sign56b    
M trace_sign56c    
M trace_wall01     
W trace_wood180    
M trace_ylight01   
M {trace_fance01  

//------------------------------------------------------------
// dm_checkmate.wad
//------------------------------------------------------------

W dm_check_tree1
W dm_check_tree2
Y check_small_lig
M dm_check_al
W dm_check_basket
W dm_check_bench
W dm_check_boardf
W dm_check_bottom
W dm_check_chessb
W dm_check_clo1
M dm_check_clock
Y dm_check_cup
Y dm_check_cup_g
Y dm_check_cup_y
Y dm_check_cuptop
W dm_check_door
W dm_check_drawer
W dm_check_frame
M dm_check_light_
Y dm_check_mainli
M dm_check_rad_b
M dm_check_rad_f
M dm_check_rad_w
M dm_check_radio_
W dm_check_woodwa
W dm_checkmate_bl
W dm_checkmate_mo
W dm_checkmate_wo

//------------------------------------------------------------
// hidden.wad
//------------------------------------------------------------

D hidden_box1     
D hidden_box2      
D hidden_box3      
W hidden_door01    
M hidden_door02    
M hidden_metal01   
M hidden_metal01_  
M hidden_mwall01   
D hidden_sign01    
D hidden_sign03    
D hidden_signy01   
D {hidden_box5     
D {hidden_box6 

//-----------------------------------------------------------
// ze_castle.wad
//-----------------------------------------------------------
       
W ze_box1          
W ze_box2             
W ze_door02        
W ze_door03        
W ze_door05        
W ze_floor04             
M ze_metalfloor    
M ze_museum        
M ze_notice        
M ze_restaurant              
M ze_vent          
M ze_vent_1                 
Y ze_window03      
Y ze_window04      
Y ze_window_1      
W ze_wood1         
W ze_wood2                  
M {ze_fence        
M {ze_fence01      
M {ze_fence01_1    
W {ze_fence03      
M {ze_shutter      
Y {ze_window_1     
Y {ze_window_2     
Y {ze_window_3     
Y {ze_window_fram

//-----------------------------------------------------------
// bazooka.wad
//-----------------------------------------------------------

M {bazooka_f01
M {bazooka_w31
Y bazooka_w14
Y bazooka_w15
Y bazooka_w16
Y bazooka_w17
M bazooka_w22
Y bazooka_w27
M bazooka_w32
Y bazooka_w34
M bazooka_w37

//-----------------------------------------------------------
// zs_evolution.wad
//-----------------------------------------------------------

M evol_door01      
M evol_floor01     
M evol_floor02     
M evol_floor03     
M evol_hoist       
N {evol_g01        
D {evol_wire01

//-----------------------------------------------------------
// zs_decoy.wad
//-----------------------------------------------------------

M z3_door          
W z3_door02        
M z3_metalbeam     
M z3_metalwall01   
M z3_metalwall03   
M z3_metalwall04   
M z3_metalwall05   
M z3_metalwall07   
M z3_metalwall08_  
M z3_metalwall11   
M z3_metalwall11_  
M z3_metalwall12   
M z3_metalwall12_  
M z3_metalwall13            
M z3_m_door01      
M z3_sewer_1       
M z3_shutter       
M z3_vent              
M z3_wall09        
M z3_wall09_1      
M z3_wall09_2      
M z3_wall13        
W z3_wood          
W z3_wood01        
W z3_w_door                
W {z3_bridge       
M {z3_c_wire       
M {z3_c_wire_1     
M {z3_frame        
M {z3_frame02      
X {z3_grass_2      
M {z3_metalwall02  
M {z3_metalwall03  
M {z3_m_door02     
M {z3_m_wall       
M {z3_m_wall01     
M {z3_obstruction  
M {z3_sewer        
M {z3_wirenet


//-----------------------------------------------------------
// de_dust0.wad
//-----------------------------------------------------------

M dust0_bio01
M dust0_bio02
W dust0_Box_01
W dust0_box1
W dust0_box2
M dust0_con_01
M dust0_cont02
M dust0_cont13
W dust0_Door_01
W dust0_Door_02
W dust0_Door_03
W dust0_Door_05
M dust0_Door_06
M dust0_Door_07
M dust0_Door_08
M dust0_Door_09
M dust0_Door_10
W dust0_Door_11
M dust0_exp01
M dust0_exp02
M dust0_exp03
M dust0_mtl_05
M dust0_mtl_06
M dust0_mtl_07
M dust0_mtl01
M dust0_mtl02
W dust0_pole_01
W dust0_wood01
W dust0_wood03
W dust0_wood04
M {dust0_barb7
M {dust0_fence_01
M {dust0_pin01


//-----------------------------------------------------------
// zm_bioplant.wad(포비든맵 와드파일)
//-----------------------------------------------------------

M bp_beams         
M bp_beams03       
M bp_bridge        
M bp_bridgetruss         
M bp_ceiling       
M bp_cont_f        
M bp_cont_l        
M bp_door01        
M bp_door02        
M bp_door03        
M bp_fence2        
M bp_floor         
M bp_frame         
M bp_frame02       
M bp_machin01      
M bp_machin02      
M bp_metal         
M bp_mfloor        
M bp_mfloor01_2    
M bp_mfloor03      
M bp_mwall01       
M bp_mwall02       
M bp_mwall03_1     
M bp_mwall08_0_1   
M bp_mwall08_0_1l  
M bp_mwall08_1_1   
M bp_mwall08_1_1l  
M bp_mwall08_2_1   
M bp_mwall08_3_1   
M bp_mwall09       
M bp_mwall09_1     
M bp_mwall11       
M bp_vent                         
M bp_wally_wind    
M bp_wall_r        
M bp_wall_r1       
M bp_wall_vent     
M bp_wall_win02    
M bp_wall_window0  
M bp_wall_y 
M {bp_danger       
M {bp_fence        
M {bp_vent         
M {bp_wire         
M {bp_wire02
M bp_mfloor04
M {bp_notice
M bp_notice02
M bp_fire
M bp_mwall08_1_2
M bp_frame03


//-----------------------------------------------------------
// zs_angra.wad
//-----------------------------------------------------------

M {angra_bg01
M {angra_bg02
M {angra_fence01
M {angra_up01
M {angra_up02
M {angra_up03
M {angra_wall11
M {angra_win02
M angra_botton01
Y angra_cctv
M angra_door01
M angra_door02
M angra_frame01
M angra_frame02
M angra_gige01
M angra_gige02
M angra_gige04
M angra_gige05
M angra_gige06
M angra_gige07
M angra_gige08
Y angra_light01
M angra_up04
M angra_wall10
M angra_wall11
M angra_wall19
M angra_wall20
M angra_wall23
M angra_wall26
Y angra_wall27
M angra_wall28
M angra_win01
Y angra_win03
Y angra_win04


//-----------------------------------------------------------
// ze_skyline.wad
//-----------------------------------------------------------

D line_awning                
D line_awning02            
D line_box01                 
D line_box02                 
Y line_Bwall02               
Y line_Bwall02_01            
W line_Bwall06
Y line_Bwall07_01              
Y line_Bwall10                
Y line_Bwall12               
Y line_Bwall14               
Y line_Bwall15               
M line_Bwall_52              
M line_Bwall_55              
M line_Bwall_56              
M line_crate10               
M line_door01                
Y line_door02                
M line_door03                
M line_Door_58               
M line_etc01                 
M line_etc02                 
W line_etc03                 
M line_floor03               
Y line_light01               
Y line_light02               
Y line_light03               
Y line_light04               
Y line_light05               
Y line_light06               
M line_metal01               
W line_picrate1              
D line_plastic01             
D line_plastic01_            
M ze_bank                    
M ze_books                   
M ze_deli                    
D {line_donttouch            
M {line_freecsbt             
M {line_mataldoor            
M {line_mdoor_59             
M {line_MD_57                
M {line_metal62              
M {line_pipe01               
M {line_tent61               
M {ze_net01 


//-----------------------------------------------------------
// baddream.wad(중독맵 텍스쳐)
//-----------------------------------------------------------

M {bad_door02
M {bad_fence01
M {bad_fence02
M {bad_fence03
M {bad_ladder
M {bad_matal
M {bad_matal_01
M {bad_matal_02
M {bad_pipes03
M {bad_sign01
M {bad_wire01
M bad_chimney04
M bad_chimney05
M bad_door01
M bad_doorup
Y bad_light01
M bad_pipes02
M bad_wall04
M bad_wall05
M bad_wallpipe01
M bad_wallpipe02
M bad_wallpipe03
M bad_wallpipe04
M bad_wallpipe05
M bad_waterhol
